Area,Item / ID,Live binding / source,Implementation,Art,Remaining work / evidence
"Skill","Shadow Magic (new-horizons:shadowMagic)","Mods/new-horizons/mod.json skills.shadowMagic.images — basic small=NH_shadowMagic_basic_small.png; medium=NH_shadowMagic_basic_medium.png; large=NH_shadowMagic_basic_large.png; scenarioBonus=NH_shadowMagic_basic_scenarioBonus.png; advanced small=NH_shadowMagic_advanced_small.png; medium=NH_shadowMagic_advanced_medium.png; large=NH_shadowMagic_advanced_large.png; scenarioBonus=NH_shadowMagic_advanced_scenarioBonus.png; expert small=NH_shadowMagic_expert_small.png; medium=NH_shadowMagic_expert_medium.png; large=NH_shadowMagic_expert_large.png; scenarioBonus=NH_shadowMagic_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Nature Magic (new-horizons:natureMagic)","Mods/new-horizons/mod.json skills.natureMagic.images — basic small=NH_natureMagic_basic_small.png; medium=NH_natureMagic_basic_medium.png; large=NH_natureMagic_basic_large.png; scenarioBonus=NH_natureMagic_basic_scenarioBonus.png; advanced small=NH_natureMagic_advanced_small.png; medium=NH_natureMagic_advanced_medium.png; large=NH_natureMagic_advanced_large.png; scenarioBonus=NH_natureMagic_advanced_scenarioBonus.png; expert small=NH_natureMagic_expert_small.png; medium=NH_natureMagic_expert_medium.png; large=NH_natureMagic_expert_large.png; scenarioBonus=NH_natureMagic_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Havoc Magic (new-horizons:havocMagic)","Mods/new-horizons/mod.json skills.havocMagic.images — basic small=NH_havocMagic_basic_small.png; medium=NH_havocMagic_basic_medium.png; large=NH_havocMagic_basic_large.png; scenarioBonus=NH_havocMagic_basic_scenarioBonus.png; advanced small=NH_havocMagic_advanced_small.png; medium=NH_havocMagic_advanced_medium.png; large=NH_havocMagic_advanced_large.png; scenarioBonus=NH_havocMagic_advanced_scenarioBonus.png; expert small=NH_havocMagic_expert_small.png; medium=NH_havocMagic_expert_medium.png; large=NH_havocMagic_expert_large.png; scenarioBonus=NH_havocMagic_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Sorcery Magic (new-horizons:sorceryMagic)","Mods/new-horizons/mod.json skills.sorceryMagic.images — basic small=NH_sorceryMagic_basic_small.png; medium=NH_sorceryMagic_basic_medium.png; large=NH_sorceryMagic_basic_large.png; scenarioBonus=NH_sorceryMagic_basic_scenarioBonus.png; advanced small=NH_sorceryMagic_advanced_small.png; medium=NH_sorceryMagic_advanced_medium.png; large=NH_sorceryMagic_advanced_large.png; scenarioBonus=NH_sorceryMagic_advanced_scenarioBonus.png; expert small=NH_sorceryMagic_expert_small.png; medium=NH_sorceryMagic_expert_medium.png; large=NH_sorceryMagic_expert_large.png; scenarioBonus=NH_sorceryMagic_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Chaos Magic (new-horizons:chaosMagic)","Mods/new-horizons/mod.json skills.chaosMagic.images — basic small=NH_chaosMagic_basic_small.png; medium=NH_chaosMagic_basic_medium.png; large=NH_chaosMagic_basic_large.png; scenarioBonus=NH_chaosMagic_basic_scenarioBonus.png; advanced small=NH_chaosMagic_advanced_small.png; medium=NH_chaosMagic_advanced_medium.png; large=NH_chaosMagic_advanced_large.png; scenarioBonus=NH_chaosMagic_advanced_scenarioBonus.png; expert small=NH_chaosMagic_expert_small.png; medium=NH_chaosMagic_expert_medium.png; large=NH_chaosMagic_expert_large.png; scenarioBonus=NH_chaosMagic_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Spellcraft (new-horizons:spellcraft)","Mods/new-horizons/mod.json skills.spellcraft.images — basic small=SECSK32:0:78; medium=SECSKILL:0:78; large=SECSK82:0:78; scenarioBonus=SECSKILL:0:78; advanced small=SECSK32:0:79; medium=SECSKILL:0:79; large=SECSK82:0:79; scenarioBonus=SECSKILL:0:79; expert small=SECSK32:0:80; medium=SECSKILL:0:80; large=SECSK82:0:80; scenarioBonus=SECSKILL:0:80","Provisional","Provisional","Classic rank art is borrowed for a renamed/reworked New Horizons skill; semantic fit and user visual approval are not established. Review or replace the binding."
"Skill","Wisdom (new-horizons:wisdom)","Mods/new-horizons/mod.json skills.wisdom.images — basic small=SECSK32:0:24; medium=SECSKILL:0:24; large=SECSK82:0:24; scenarioBonus=SECSKILL:0:24; advanced small=SECSK32:0:25; medium=SECSKILL:0:25; large=SECSK82:0:25; scenarioBonus=SECSKILL:0:25; expert small=SECSK32:0:26; medium=SECSKILL:0:26; large=SECSK82:0:26; scenarioBonus=SECSKILL:0:26","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Warcasting (new-horizons:warcasting)","Mods/new-horizons/mod.json skills.warcasting.images — basic small=NH_warcasting_basic_small.png; medium=NH_warcasting_basic_medium.png; large=NH_warcasting_basic_large.png; scenarioBonus=NH_warcasting_basic_scenarioBonus.png; advanced small=NH_warcasting_advanced_small.png; medium=NH_warcasting_advanced_medium.png; large=NH_warcasting_advanced_large.png; scenarioBonus=NH_warcasting_advanced_scenarioBonus.png; expert small=NH_warcasting_expert_small.png; medium=NH_warcasting_expert_medium.png; large=NH_warcasting_expert_large.png; scenarioBonus=NH_warcasting_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Logistics (new-horizons:logistics)","Mods/new-horizons/mod.json skills.logistics.images — basic small=SECSK32:0:9; medium=SECSKILL:0:9; large=SECSK82:0:9; scenarioBonus=SECSKILL:0:9; advanced small=SECSK32:0:10; medium=SECSKILL:0:10; large=SECSK82:0:10; scenarioBonus=SECSKILL:0:10; expert small=SECSK32:0:11; medium=SECSKILL:0:11; large=SECSK82:0:11; scenarioBonus=SECSKILL:0:11","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Diplomacy (new-horizons:diplomacy)","Mods/new-horizons/mod.json skills.diplomacy.images — basic small=SECSK32:0:15; medium=SECSKILL:0:15; large=SECSK82:0:15; scenarioBonus=SECSKILL:0:15; advanced small=SECSK32:0:16; medium=SECSKILL:0:16; large=SECSK82:0:16; scenarioBonus=SECSKILL:0:16; expert small=SECSK32:0:17; medium=SECSKILL:0:17; large=SECSK82:0:17; scenarioBonus=SECSKILL:0:17","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Estates (new-horizons:estates)","Mods/new-horizons/mod.json skills.estates.images — basic small=SECSK32:0:42; medium=SECSKILL:0:42; large=SECSK82:0:42; scenarioBonus=SECSKILL:0:42; advanced small=SECSK32:0:43; medium=SECSKILL:0:43; large=SECSK82:0:43; scenarioBonus=SECSKILL:0:43; expert small=SECSK32:0:44; medium=SECSKILL:0:44; large=SECSK82:0:44; scenarioBonus=SECSKILL:0:44","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Learning (new-horizons:learning)","Mods/new-horizons/mod.json skills.learning.images — basic small=SECSK32:0:66; medium=SECSKILL:0:66; large=SECSK82:0:66; scenarioBonus=SECSKILL:0:66; advanced small=SECSK32:0:67; medium=SECSKILL:0:67; large=SECSK82:0:67; scenarioBonus=SECSKILL:0:67; expert small=SECSK32:0:68; medium=SECSKILL:0:68; large=SECSK82:0:68; scenarioBonus=SECSKILL:0:68","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Luck (new-horizons:luck)","Mods/new-horizons/mod.json skills.luck.images — basic small=SECSK32:0:30; medium=SECSKILL:0:30; large=SECSK82:0:30; scenarioBonus=SECSKILL:0:30; advanced small=SECSK32:0:31; medium=SECSKILL:0:31; large=SECSK82:0:31; scenarioBonus=SECSKILL:0:31; expert small=SECSK32:0:32; medium=SECSKILL:0:32; large=SECSK82:0:32; scenarioBonus=SECSKILL:0:32","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Divine Mandate (new-horizons:divineMandate)","Mods/new-horizons/mod.json skills.divineMandate.images — basic small=NH_divineMandate_basic_small.png; medium=NH_divineMandate_basic_medium.png; large=NH_divineMandate_basic_large.png; scenarioBonus=NH_divineMandate_basic_scenarioBonus.png; advanced small=NH_divineMandate_advanced_small.png; medium=NH_divineMandate_advanced_medium.png; large=NH_divineMandate_advanced_large.png; scenarioBonus=NH_divineMandate_advanced_scenarioBonus.png; expert small=NH_divineMandate_expert_small.png; medium=NH_divineMandate_expert_medium.png; large=NH_divineMandate_expert_large.png; scenarioBonus=NH_divineMandate_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Sylvan Luck (new-horizons:sylvanLuck)","Mods/new-horizons/mod.json skills.sylvanLuck.images — basic small=NH_sylvanLuck_basic_small.png; medium=NH_sylvanLuck_basic_medium.png; large=NH_sylvanLuck_basic_large.png; scenarioBonus=NH_sylvanLuck_basic_scenarioBonus.png; advanced small=NH_sylvanLuck_advanced_small.png; medium=NH_sylvanLuck_advanced_medium.png; large=NH_sylvanLuck_advanced_large.png; scenarioBonus=NH_sylvanLuck_advanced_scenarioBonus.png; expert small=NH_sylvanLuck_expert_small.png; medium=NH_sylvanLuck_expert_medium.png; large=NH_sylvanLuck_expert_large.png; scenarioBonus=NH_sylvanLuck_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Metamagic (new-horizons:metamagic)","config/newHorizonsSkills.json and Mods/new-horizons/mod.json: NH_metamagic_prism_<basic|advanced|expert>_<small|medium|large|scenarioBonus>.png; art-source/metamagic-prisms-v2/manifest.json","Provisional","Provisional","Three distinct HoMM3-skill prism paintings; Expert opaque leather repaired. Twelve native slots bound with aspect-preserving padding for rectangular slots. Basic slight original translucency disclosed. User-final approval and in-game grid review remain pending."
"Skill","Shroud of Malassa (new-horizons:shroudOfMalassa)","Mods/new-horizons/mod.json skills.shroudOfMalassa.images — basic small=NH_shroudOfMalassa_basic_small.png; medium=NH_shroudOfMalassa_basic_medium.png; large=NH_shroudOfMalassa_basic_large.png; scenarioBonus=NH_shroudOfMalassa_basic_scenarioBonus.png; advanced small=NH_shroudOfMalassa_advanced_small.png; medium=NH_shroudOfMalassa_advanced_medium.png; large=NH_shroudOfMalassa_advanced_large.png; scenarioBonus=NH_shroudOfMalassa_advanced_scenarioBonus.png; expert small=NH_shroudOfMalassa_expert_small.png; medium=NH_shroudOfMalassa_expert_medium.png; large=NH_shroudOfMalassa_expert_large.png; scenarioBonus=NH_shroudOfMalassa_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Demonic Gating (new-horizons:demonicGating)","Mods/new-horizons/mod.json skills.demonicGating.images — basic small=NH_demonicGating_basic_small.png; medium=NH_demonicGating_basic_medium.png; large=NH_demonicGating_basic_large.png; scenarioBonus=NH_demonicGating_basic_scenarioBonus.png; advanced small=NH_demonicGating_advanced_small.png; medium=NH_demonicGating_advanced_medium.png; large=NH_demonicGating_advanced_large.png; scenarioBonus=NH_demonicGating_advanced_scenarioBonus.png; expert small=NH_demonicGating_expert_small.png; medium=NH_demonicGating_expert_medium.png; large=NH_demonicGating_expert_large.png; scenarioBonus=NH_demonicGating_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Necromancy (new-horizons:necromancy)","Mods/new-horizons/mod.json skills.necromancy.images — basic small=SECSK32:0:39; medium=SECSKILL:0:39; large=SECSK82:0:39; scenarioBonus=SECSKILL:0:39; advanced small=SECSK32:0:40; medium=SECSKILL:0:40; large=SECSK82:0:40; scenarioBonus=SECSKILL:0:40; expert small=SECSK32:0:41; medium=SECSKILL:0:41; large=SECSK82:0:41; scenarioBonus=SECSKILL:0:41","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Bloodrage (new-horizons:bloodrage)","Mods/new-horizons/mod.json skills.bloodrage.images — basic small=NH_bloodrage_basic_small.png; medium=NH_bloodrage_basic_medium.png; large=NH_bloodrage_basic_large.png; scenarioBonus=NH_bloodrage_basic_scenarioBonus.png; advanced small=NH_bloodrage_advanced_small.png; medium=NH_bloodrage_advanced_medium.png; large=NH_bloodrage_advanced_large.png; scenarioBonus=NH_bloodrage_advanced_scenarioBonus.png; expert small=NH_bloodrage_expert_small.png; medium=NH_bloodrage_expert_medium.png; large=NH_bloodrage_expert_large.png; scenarioBonus=NH_bloodrage_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Bulwark of the Mire (new-horizons:bulwarkOfTheMire)","Mods/new-horizons/mod.json skills.bulwarkOfTheMire.images — basic small=NH_bulwarkOfTheMire_basic_small.png; medium=NH_bulwarkOfTheMire_basic_medium.png; large=NH_bulwarkOfTheMire_basic_large.png; scenarioBonus=NH_bulwarkOfTheMire_basic_scenarioBonus.png; advanced small=NH_bulwarkOfTheMire_advanced_small.png; medium=NH_bulwarkOfTheMire_advanced_medium.png; large=NH_bulwarkOfTheMire_advanced_large.png; scenarioBonus=NH_bulwarkOfTheMire_advanced_scenarioBonus.png; expert small=NH_bulwarkOfTheMire_expert_small.png; medium=NH_bulwarkOfTheMire_expert_medium.png; large=NH_bulwarkOfTheMire_expert_large.png; scenarioBonus=NH_bulwarkOfTheMire_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Elemental Rebirth (new-horizons:elementalRebirth)","Mods/new-horizons/mod.json skills.elementalRebirth.images — basic small=NH_elementalRebirth_basic_small.png; medium=NH_elementalRebirth_basic_medium.png; large=NH_elementalRebirth_basic_large.png; scenarioBonus=NH_elementalRebirth_basic_scenarioBonus.png; advanced small=NH_elementalRebirth_advanced_small.png; medium=NH_elementalRebirth_advanced_medium.png; large=NH_elementalRebirth_advanced_large.png; scenarioBonus=NH_elementalRebirth_advanced_scenarioBonus.png; expert small=NH_elementalRebirth_expert_small.png; medium=NH_elementalRebirth_expert_medium.png; large=NH_elementalRebirth_expert_large.png; scenarioBonus=NH_elementalRebirth_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Active perk","Shock Assault (new-horizons:offense.shockAssault)","NH_perk_shock_assault; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_shock_assault.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Executioner (new-horizons:offense.executioner)","NH_perk_executioner; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_executioner.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Armor Piercer (new-horizons:offense.armorPiercer)","NH_perk_armor_piercer; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_armor_piercer.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Breakthrough (new-horizons:offense.breakthrough)","NH_perk_breakthrough; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_breakthrough.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Entrench (new-horizons:battlecraft.entrench)","NH_perk_entrench; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_entrench.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Inspirational Leader (new-horizons:discipline.inspirationalLeader)","NH_perk_inspirational_leader; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_inspirational_leader.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Volunteer Network (new-horizons:recruitment.volunteerNetwork)","NH_perk_neutral; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_neutral.json","Provisional","Not done","Runtime currently resolves to the generic neutral icon; author/bind a role-specific icon and its four states."
"Active perk","Elite Draft (new-horizons:recruitment.eliteDraft)","NH_perk_neutral; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_neutral.json","Provisional","Not done","Runtime currently resolves to the generic neutral icon; author/bind a role-specific icon and its four states."
"Active perk","Champion's Call (new-horizons:recruitment.championSCall)","NH_perk_neutral; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_neutral.json","Provisional","Not done","Runtime currently resolves to the generic neutral icon; author/bind a role-specific icon and its four states."
"Active perk","Master Recruiter (new-horizons:recruitment.masterRecruiter)","NH_perk_neutral; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_neutral.json","Provisional","Not done","Runtime currently resolves to the generic neutral icon; author/bind a role-specific icon and its four states."
"Active perk","Stormcaller (new-horizons:havocMagic.stormcaller)","NH_perk_stormcaller; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_stormcaller.json","Provisional","Not done","Runtime currently uses the Havoc skill glyph; author/bind distinct Stormcaller art and its four states."
"Active perk","Conductor (new-horizons:havocMagic.conductor)","NH_perk_conductor; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_conductor.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Annihilator (new-horizons:havocMagic.annihilator)","NH_perk_annihilator; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_annihilator.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Overcharger (new-horizons:sorceryMagic.overcharger)","NH_perk_overcharger; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_overcharger.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Selective Dispel (new-horizons:sorceryMagic.selectiveDispel)","NH_perk_selective_dispel; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_selective_dispel.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Temporalist (new-horizons:sorceryMagic.temporalist)","NH_perk_temporalist; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_temporalist.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Matter Shaper (new-horizons:sorceryMagic.matterShaper)","NH_perk_matter_shaper; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_matter_shaper.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Teleporter (new-horizons:sorceryMagic.teleporter)","NH_perk_teleporter; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_teleporter.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Countermage (new-horizons:sorceryMagic.countermage)","NH_perk_countermage; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_countermage.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Illusionist (new-horizons:sorceryMagic.illusionist)","NH_perk_neutral; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_neutral.json","Provisional","Not done","Runtime currently resolves to the generic neutral icon; author/bind a role-specific icon and its four states."
"Active perk","Temporal Field (new-horizons:sorceryMagic.temporalField)","NH_perk_temporal_field; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_temporal_field.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Chronomancer (new-horizons:sorceryMagic.chronomancer)","NH_perk_chronomancer; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_chronomancer.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Martial Channeling (new-horizons:warcasting.martialChanneling)","NH_perk_martial_channeling; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_martial_channeling.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Arcane Channeling (new-horizons:warcasting.arcaneChanneling)","NH_perk_arcane_channeling; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_arcane_channeling.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Battle Meditation (new-horizons:warcasting.battleMeditation)","NH_perk_battle_meditation; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_battle_meditation.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Tactical Weaving (new-horizons:warcasting.tacticalWeaving)","NH_perk_tactical_weaving; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_tactical_weaving.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
"Active perk","Elven Precision (new-horizons:sylvanLuck.elvenPrecision)","NH_perk_elven_precision; client/windows/NewHorizonsPerkIcons.h; four-state descriptor NH_perk_elven_precision.json","Provisional","Provisional","Distinct icon family is bound; user-final visual approval and in-game choice/hero-screen review are not recorded."
